Model,Remaining Features,Dropped Feature,R^2 (mean),R^2 (std),MAE (mean),MAE (std),MSE (mean),MSE (std),RMSE (mean),MAPE (mean),Accuracy (%),Training Time (s)
Elastic Net,10,I_a_r,0.278337209,0.159222417,0.529555971,0.14704709,0.482913229,0.289438715,0.694919585,7.659800189,84.7972973,0.028000593
Orthogonal Matching Pursuit,10,I_a_r,0.237060161,0.27681167,0.552121923,0.194420178,0.548001984,0.449531237,0.740271561,7.914798408,85.13513514,0.025003433
k-Nearest Neighbors Regressor,10,I_a_r,0.282106486,0.147663531,0.480067797,0.150585474,0.472357062,0.253718678,0.687282374,6.925943801,88.17567568,0.02499795
Decision Tree Regressor,10,I_a_r,-0.072317189,0.309821989,0.461412429,0.215006872,0.736440678,0.510676025,0.858161219,6.447072072,89.52702703,0.026974916
Random Forest Regressor,10,I_a_r,0.439758456,0.126902454,0.423475141,0.119108534,0.359448073,0.173923577,0.599539885,6.140980266,90.87837838,0.437129021
Extra Trees Regressor,10,I_a_r,0.409033155,0.136585924,0.433008475,0.143388032,0.386373395,0.208250367,0.621589411,6.309416559,88.17567568,0.155216217
Gradient Boosting Regressor,10,I_a_r,0.393974384,0.104665347,0.401189629,0.103130566,0.380432128,0.139636785,0.616791803,5.798819987,91.21621622,1.375024319
AdaBoost Regressor,10,I_a_r,0.333394529,0.190282753,0.513269121,0.13234505,0.428248205,0.22434627,0.654406758,7.585076043,88.85135135,0.12232995
XGBoost Regressor,10,I_a_r,0.372431028,0.124601494,0.431049568,0.127806016,0.404210267,0.192010145,0.635775328,6.201790539,88.51351351,0.343289852
LightGBM Regressor,10,I_a_r,0.419445936,0.116310606,0.429656655,0.132037114,0.373038159,0.1762718,0.610768499,6.258990338,89.52702703,0.104782343
Linear Regression,9,sa0.6,0.226152852,0.16274666,0.499739842,0.049695422,0.471285609,0.121064206,0.686502446,7.303182449,87.83783784,0.025813341
Ridge Regression,9,sa0.6,0.330633504,0.119626047,0.50695575,0.10864527,0.431800665,0.204059072,0.657115412,7.392558186,86.82432432,0.027008533
Bayesian Ridge,9,sa0.6,0.294911112,0.126160558,0.501635879,0.080013202,0.438342627,0.146273096,0.662074488,7.321170187,87.16216216,0.025999308
Lasso Regression,9,sa0.6,0.256931316,0.192462363,0.550509622,0.166486884,0.509054881,0.343850291,0.713480821,7.959788291,84.7972973,0.024000168
Elastic Net,9,sa0.6,0.278576724,0.159121042,0.529488379,0.147066536,0.482813735,0.289492043,0.694847994,7.658892459,84.7972973,0.014000893
Orthogonal Matching Pursuit,9,sa0.6,0.237060161,0.27681167,0.552121923,0.194420178,0.548001984,0.449531237,0.740271561,7.914798408,85.13513514,0.023999214
k-Nearest Neighbors Regressor,9,sa0.6,0.286522564,0.134333851,0.467920904,0.147960777,0.461742373,0.224315327,0.679516279,6.768822394,88.85135135,0.024000168
Decision Tree Regressor,9,sa0.6,0.117869784,0.213808833,0.39440678,0.13243309,0.555875706,0.236547701,0.745570725,5.82703239,92.56756757,0.024999619
Random Forest Regressor,9,sa0.6,0.44447954,0.138311726,0.419858192,0.121997384,0.353966404,0.169478284,0.594950758,6.100161545,92.56756757,0.418486595
Extra Trees Regressor,9,sa0.6,0.436168952,0.106208066,0.416718644,0.113478732,0.360851864,0.162271281,0.600709468,6.075349903,89.86486486,0.156968117
Gradient Boosting Regressor,9,sa0.6,0.390757538,0.123967706,0.399764354,0.10202603,0.376872462,0.122963895,0.613899391,5.793786671,91.55405405,1.242814779
AdaBoost Regressor,9,sa0.6,0.326076202,0.200237048,0.519848504,0.130120848,0.432113002,0.22519704,0.657353027,7.695324774,87.83783784,0.136007547
XGBoost Regressor,9,sa0.6,0.390362644,0.11484605,0.426931433,0.115297537,0.388074082,0.168580325,0.622955923,6.169161505,88.85135135,0.311545849
LightGBM Regressor,9,sa0.6,0.384920584,0.136936633,0.433982394,0.128387662,0.386823377,0.159758381,0.621951266,6.300974345,89.52702703,0.137446165
Linear Regression,8,I_f,0.255652001,0.153669254,0.495789377,0.052620743,0.453019473,0.113573235,0.673067213,7.252834421,88.17567568,0.026003838
Ridge Regression,8,I_f,0.310871924,0.121956186,0.517624705,0.119911698,0.449766492,0.227959714,0.670646324,7.539264253,86.48648649,0.025999308
Bayesian Ridge,8,I_f,0.284871249,0.120145801,0.500259515,0.072892369,0.444721396,0.143898631,0.666874348,7.302312874,88.17567568,0.025001287
